ip,port,location,ping,type,anonymity
103.241.5.113,4145,Indonesia,1600,SOCKS4,High
103.233.111.245,4145,Indonesia,1180,SOCKS4,High
103.52.2.29,4145,Indonesia,1120,SOCKS4,High
203.160.63.81,4145,Indonesia,1700,SOCKS4,High
103.40.122.148,4145,Indonesia,1160,SOCKS4,High
114.129.19.146,4145,Indonesia,1360,SOCKS4,High
103.94.8.42,4145,Indonesia,1660,SOCKS4,High
103.241.178.17,4145,Indonesia,1240,SOCKS4,High
103.86.139.6,4145,Indonesia,1360,SOCKS4,High
103.253.2.162,4145,Indonesia,2220,SOCKS4,High
112.78.35.133,4145,Indonesia,1160,SOCKS4,High
103.11.97.174,4145,Indonesia,1700,SOCKS4,High
103.207.97.149,4145,Indonesia,1380,SOCKS4,High
112.78.35.174,4145,Indonesia,1240,SOCKS4,High
202.169.242.58,4145,Indonesia,1380,SOCKS4,High
202.75.108.90,4145,Indonesia,1220,SOCKS4,High
182.253.108.26,4145,Indonesia,1200,SOCKS4,High
124.40.250.10,4145,Indonesia,1240,SOCKS4,High
112.78.141.211,4145,Indonesia,1200,SOCKS4,High
103.77.248.129,4145,Indonesia,1080,SOCKS4,High
103.40.121.48,4145,Indonesia,1180,SOCKS4,High
103.232.64.227,4145,Indonesia,1100,SOCKS4,High
103.210.118.250,4145,Indonesia,1200,SOCKS4,High
103.197.92.1,4145,Indonesia,1560,SOCKS4,High
36.89.21.185,4145,Indonesia,1340,SOCKS4,High
202.158.43.250,4145,Indonesia,1220,SOCKS4,High
112.78.39.113,4145,Indonesia,1260,SOCKS4,High
103.77.204.99,4145,Indonesia,1300,SOCKS4,High
36.67.10.27,4145,Indonesia,2640,SOCKS4,High
103.85.12.26,4145,Indonesia,1240,SOCKS4,High
103.248.248.238,4145,Indonesia,1340,SOCKS4,High
103.206.253.58,51372,Indonesia,1200,SOCKS4,High
36.89.225.127,4145,Indonesia,1300,SOCKS4,High
103.77.205.13,4145,Indonesia,1340,SOCKS4,High
103.107.71.20,4145,Indonesia,1240,SOCKS4,High
103.102.146.1,4145,Indonesia,1200,SOCKS4,High
203.148.84.13,4145,Indonesia,1260,SOCKS4,High
114.199.83.57,4145,Indonesia,1100,SOCKS4,High
103.19.57.85,4145,Indonesia,1260,SOCKS4,High
103.217.217.222,51372,Indonesia,1040,SOCKS4,High
203.29.27.250,4145,Indonesia,1320,SOCKS4,High
203.153.103.24,4145,Indonesia,1200,SOCKS4,High
103.95.8.141,4145,Indonesia,1220,SOCKS4,High
103.86.155.162,4145,Indonesia,1200,SOCKS4,High
103.10.59.105,4145,Indonesia,1140,SOCKS4,High
36.67.143.101,4145,Indonesia,1300,SOCKS4,High
116.254.103.18,4145,Indonesia,1160,SOCKS4,High
103.16.132.188,4145,Indonesia,1200,SOCKS4,High
103.53.0.178,1080,Indonesia,1020,SOCKS4,High
103.28.59.13,4145,Indonesia,960,SOCKS4,High
103.85.220.178,4145,Indonesia,3880,SOCKS4,High
117.20.54.22,4145,Indonesia,1380,SOCKS4,High
103.20.184.228,4145,Indonesia,2440,SOCKS4,High
103.14.20.49,4145,Indonesia,1200,SOCKS4,High
103.40.120.66,4145,Indonesia,1260,SOCKS4,High
103.228.119.169,4145,Indonesia,1160,SOCKS4,High
202.152.135.254,4145,Indonesia,1500,SOCKS4,High
113.20.139.158,4145,Indonesia,1160,SOCKS4,High
103.95.8.197,4145,Indonesia,1240,SOCKS4,High
103.87.70.17,4145,Indonesia,1080,SOCKS4,High
103.20.184.91,4145,Indonesia,1220,SOCKS4,High
103.108.159.251,4145,Indonesia,980,SOCKS4,High
103.91.44.202,4145,Indonesia,1040,SOCKS4,High
202.154.189.233,4145,Indonesia,1220,SOCKS4,High
203.190.53.49,4145,Indonesia,1280,SOCKS4,High
203.190.53.25,4145,Indonesia,1280,SOCKS4,High
122.200.146.97,4145,Indonesia,1180,SOCKS4,High
114.129.18.62,4145,Indonesia,1280,SOCKS4,High
103.8.56.161,4145,Indonesia,1100,SOCKS4,High
103.25.210.17,4145,Indonesia,1420,SOCKS4,High
103.8.56.145,4145,Indonesia,1080,SOCKS4,High
103.253.1.174,4145,Indonesia,1420,SOCKS4,High
203.148.84.101,4145,Indonesia,1240,SOCKS4,High
103.52.2.9,4145,Indonesia,1080,SOCKS4,High
103.109.3.97,1080,Indonesia,1140,SOCKS4,High
103.40.123.46,4145,Indonesia,1180,SOCKS4,High
163.53.185.146,51372,Indonesia,1460,SOCKS4,High
36.67.229.37,4145,Indonesia,1200,SOCKS4,High
103.197.92.177,4145,Indonesia,1560,SOCKS4,High
103.242.104.226,4145,Indonesia,1660,SOCKS4,High
103.217.172.94,4145,Indonesia,1160,SOCKS4,High
36.66.222.134,4145,Indonesia,1220,SOCKS4,High
103.95.8.127,4145,Indonesia,1240,SOCKS4,High
103.91.44.126,4145,Indonesia,1280,SOCKS4,High
43.252.237.245,4145,Indonesia,1100,SOCKS4,High
27.131.7.106,4145,Indonesia,1280,SOCKS4,High
202.56.165.241,4145,Indonesia,1180,SOCKS4,High
222.124.30.125,4145,Indonesia,1220,SOCKS4,High
103.195.19.174,4145,Indonesia,1540,SOCKS4,High
203.80.14.205,4145,Indonesia,4420,SOCKS4,High
202.169.248.148,4145,Indonesia,1400,SOCKS4,High
120.89.88.241,4145,Indonesia,1240,SOCKS4,High
163.53.187.134,4145,Indonesia,1440,SOCKS4,High
124.40.250.74,4145,Indonesia,1180,SOCKS4,High
103.52.3.17,4145,Indonesia,1360,SOCKS4,High
103.52.2.65,4145,Indonesia,1360,SOCKS4,High
103.31.134.43,4153,Indonesia,1260,SOCKS4,High
103.232.65.67,4145,Indonesia,1120,SOCKS4,High
103.228.119.122,51372,Indonesia,2860,SOCKS4,High
103.109.3.1,1080,Indonesia,1100,SOCKS4,High
203.130.214.132,4145,Indonesia,1360,SOCKS4,High
103.43.130.77,4145,Indonesia,1100,SOCKS4,High
103.247.14.43,4145,Indonesia,1320,SOCKS4,High
103.229.163.16,4145,Indonesia,1240,SOCKS4,High
103.194.172.1,4145,Indonesia,1120,SOCKS4,High
116.0.6.146,4145,Indonesia,1220,SOCKS4,High
103.77.249.1,4145,Indonesia,1080,SOCKS4,High
103.244.206.125,4145,Indonesia,1260,SOCKS4,High
103.214.185.89,4145,Indonesia,1140,SOCKS4,High
103.95.8.33,4145,Indonesia,1240,SOCKS4,High
